city,year,month,time_mean
волгоград,2024,Ноябрь,2023-05-20 08:21:22.133333248
волгоград,2024,Декабрь,2023-05-20 07:12:17.129032192
вологда,2024,Январь,2023-05-20 07:06:39.225806592
вологда,2024,Февраль,2023-05-20 09:41:53.827586304
вологда,2024,Март,2023-05-20 11:58:22.806451968
вологда,2024,Апрель,2023-05-20 14:18:32.299999744
вологда,2024,Май,2023-05-20 16:24:08.032258048
вологда,2024,Июнь,2023-05-20 17:32:28.799999744
вологда,2024,Июль,2023-05-20 16:55:57.387096832
вологда,2024,Август,2023-05-20 15:01:50.548387072
вологда,2024,Сентябрь,2023-05-20 12:45:50.400000256
вологда,2024,Октябрь,2023-05-20 10:27:21.580645376
вологда,2024,Ноябрь,2023-05-20 08:21:22.133333248
вологда,2024,Декабрь,2023-05-20 07:12:17.129032192
воронеж,2024,Январь,2023-05-20 07:49:02.064515840
воронеж,2024,Февраль,2023-05-20 09:41:53.827586304
воронеж,2024,Март,2023-05-20 11:58:22.806451968
воронеж,2024,Апрель,2023-05-20 14:18:32.299999744
воронеж,2024,Май,2023-05-20 16:24:08.032258048
воронеж,2024,Июнь,2023-05-20 17:32:28.799999744
воронеж,2024,Июль,2023-05-20 16:55:57.387096832
воронеж,2024,Август,2023-05-20 15:01:50.548387072
воронеж,2024,Сентябрь,2023-05-20 12:45:50.400000256
воронеж,2024,Октябрь,2023-05-20 10:27:21.580645376
воронеж,2024,Ноябрь,2023-05-20 08:54:40.400000000
воронеж,2024,Декабрь,2023-05-20 07:12:17.129032192
севастополь,2024,Январь,2023-05-20 07:49:02.064515840
севастополь,2024,Февраль,2023-05-20 10:30:15.551724288
севастополь,2024,Март,2023-05-20 11:58:22.806451968
севастополь,2024,Апрель,2023-05-20 14:18:32.299999744
севастополь,2024,Май,2023-05-20 16:24:08.032258048
севастополь,2024,Июнь,2023-05-20 17:32:28.799999744
севастополь,2024,Июль,2023-05-20 16:55:57.387096832
севастополь,2024,Август,2023-05-20 14:01:56.032258048
севастополь,2024,Сентябрь,2023-05-20 12:45:50.400000256
севастополь,2024,Октябрь,2023-05-20 10:27:21.580645376
севастополь,2024,Ноябрь,2023-05-20 08:21:22.133333248
севастополь,2024,Декабрь,2023-05-20 07:12:17.129032192
